Date,Market Cap
19/01/2016,5843510000
18/01/2016,5761940000
17/01/2016,5842270000
16/01/2016,5507790000
15/01/2016,6489870000
14/01/2016,6519110000
13/01/2016,6553350000
12/01/2016,6755220000
11/01/2016,6761090000
10/01/2016,6752210000
09/01/2016,6828000000
08/01/2016,6888600000
07/01/2016,6472580000
06/01/2016,6498830000
05/01/2016,6515380000
04/01/2016,6468180000
03/01/2016,6519500000
02/01/2016,6533630000
01/01/2016,6473530000
31/12/2015,6399190000
30/12/2015,6508960000
29/12/2015,6339010000
28/12/2015,6356100000
27/12/2015,6251440000
26/12/2015,6838480000
25/12/2015,6823120000
24/12/2015,6645120000
23/12/2015,6547850000
22/12/2015,6556960000
21/12/2015,6636280000
20/12/2015,6925030000
19/12/2015,6942950000
18/12/2015,6825640000
17/12/2015,6807850000
16/12/2015,6962090000
15/12/2015,6640850000
14/12/2015,6480070000
13/12/2015,6454430000
12/12/2015,6761730000
11/12/2015,6206150000
10/12/2015,6244360000
09/12/2015,6189620000
08/12/2015,5908810000
07/12/2015,5821140000
06/12/2015,5813290000
05/12/2015,5426180000
04/12/2015,5388110000
03/12/2015,5358040000
02/12/2015,5394070000
01/12/2015,5624580000
30/11/2015,5534000000
29/11/2015,5324610000
28/11/2015,5318300000
27/11/2015,5238500000
26/11/2015,4886330000
25/11/2015,4762230000
24/11/2015,4805160000
23/11/2015,4823700000
22/11/2015,4861340000
21/11/2015,4787340000
20/11/2015,4850170000
19/11/2015,4971880000
18/11/2015,4969330000
17/11/2015,4905260000
16/11/2015,4746070000
15/11/2015,4942420000
14/11/2015,4994250000
13/11/2015,5020700000
12/11/2015,4657240000
11/11/2015,5037510000
10/11/2015,5631520000
09/11/2015,5546240000
08/11/2015,5692390000
07/11/2015,5542680000
06/11/2015,5745320000
05/11/2015,6040410000
04/11/2015,5973510000
03/11/2015,5353680000
02/11/2015,4820850000
01/11/2015,4657890000
31/10/2015,4856410000
30/10/2015,4639690000
29/10/2015,4496390000
28/10/2015,4338430000
27/10/2015,4211500000
26/10/2015,4187410000
25/10/2015,4154100000
24/10/2015,4080140000
23/10/2015,4037010000
22/10/2015,3930500000
21/10/2015,3970980000
20/10/2015,3885570000
19/10/2015,3859270000
18/10/2015,3991620000
17/10/2015,3870490000
16/10/2015,3745090000
15/10/2015,3711800000
14/10/2015,3672370000
13/10/2015,3608340000
12/10/2015,3632110000
11/10/2015,3599840000
10/10/2015,3584120000
09/10/2015,3565090000
08/10/2015,3572730000
07/10/2015,3617400000
06/10/2015,3531230000
05/10/2015,3497740000
04/10/2015,3502460000
03/10/2015,3482100000
02/10/2015,3482190000
01/10/2015,3462800000
30/09/2015,3471280000
29/09/2015,3505090000
28/09/2015,3413630000
27/09/2015,3431860000
26/09/2015,3444730000
25/09/2015,3433300000
24/09/2015,3373850000
23/09/2015,3381390000
22/09/2015,3322420000
21/09/2015,3383840000
20/09/2015,3385770000
19/09/2015,3406390000
18/09/2015,3415440000
17/09/2015,3349390000
16/09/2015,3365740000
15/09/2015,3368360000
14/09/2015,3369190000
13/09/2015,3435990000
12/09/2015,3502520000
11/09/2015,3479310000
10/09/2015,3478410000
09/09/2015,3551640000
08/09/2015,3498750000
07/09/2015,3499120000
06/09/2015,3424420000
05/09/2015,3355470000
04/09/2015,3311080000
03/09/2015,3340990000
02/09/2015,3321180000
01/09/2015,3352760000
31/08/2015,3335220000
30/08/2015,3345740000
29/08/2015,3368880000
28/08/2015,3268370000
27/08/2015,3287220000
